age_yrs,Lifestage,Activity_stages,no_days,mean_bpm,se_bpm,Es_perday,Es_perday_sd,Es_perday_quant025,Es_perday_quant975,Es,Es_sd,Es_quant025,Es_quant975
36,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,861.9437497062903,326.3473803500401,380.2115980368311,1575.2598999414456,43959.1312350208,16643.716397852048,19390.79149987839,80338.25489701371
36,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1892.5953951294218,513.2573470067558,964.0431924874551,2769.34324782612,289567.0954548016,78528.37409203364,147498.60845058062,423709.51691739634
36,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,690.0144450261103,298.20076186879993,284.98791856946355,1366.2327563172817,69001.44450261103,29820.076186879996,28498.791856946358,136623.27563172817
36,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,1004.7819160512867,352.2040962514697,459.85184132163033,1748.3010558866781,61291.69687912849,21484.449871339653,28050.96232061945,106646.36440908737
37,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,1005.1584772667594,352.3884526766758,459.95593402627344,1749.0396825561043,31159.91279526954,10924.04203297695,14258.633954814477,54220.23015923923
37,Pregnant,calving grounds recently pregnant,51,0.6191317302061677,0.022050157577660528,862.2665571837625,326.5120313116429,380.2982698243594,1575.9247373111195,43975.59441637189,16652.11359689379,19395.21176104233,80372.16160286708
37,Pregnant,foraging pregnant,153,1.3396716419385846,0.01096284529578846,1893.3073416780155,513.5781884134491,964.2435840742489,2770.7098610208577,289676.0232767364,78577.46282725771,147529.26836336008,423918.60873619124
37,Pregnant,northbound pregnant,100,0.4990561677805218,0.02206869679026243,690.2725887840305,298.3436847339301,285.0527487937112,1366.8083822563233,69027.25887840305,29834.368473393013,28505.274879371118,136680.83822563232
37,Pregnant,southbound pregnant,61,0.7191739493024276,0.022034004788815145,1005.1584772667594,352.3884526766758,459.95593402627344,1749.0396825561043,61314.66711327232,21495.695613277225,28057.31197560268,106691.42063592238
38,Pregnant,Southbound recently pregnant,31,0.7191739493024276,0.022034004788815145,1005.4747471029556,352.54551694743765,460.0404691177098,1749.6635814460933,31169.717160191623,10928.911025370568,14261.254542649003,54239.57102482889
