age_yrs,mean_mass,sd_mass,mean_lwr,mean_upr,quant025,quant975,female_mass,male_mass
24,19837.37016881875,203.2823139490876,16694.666265315867,23571.702550309463,19443.02702608914,20238.6620672434,20402.42555728175,19521.420374139976
24.5,19864.308307945295,205.64043300858796,16714.961144952664,23607.06699568514,19465.410712402576,20270.275587089298,20430.13101286905,19547.929469524654
25,19888.963688312964,208.99851000444897,16733.531727968344,23639.44214443262,19483.582431789895,20301.591069510196,20455.48868670671,19572.192163649204
25.5,19911.509794387854,211.76531793729427,16750.511192562844,23669.05160799454,19500.786919809205,20329.625053501622,20478.67700486002,19594.37917789264
26,19932.128150853478,214.2098780790039,16766.036693877908,23696.133029412784,19516.686213663877,20355.092545347656,20499.882662632368,19614.669145794836
26.5,19950.987139033936,216.72239226122977,16780.235207322283,23720.90726179568,19530.695694710703,20378.93621057434,20519.278837587164,19633.227766870543
27,19968.23192387259,218.9734662543765,16793.21688775742,23743.563557445646,19543.595971893734,20400.64737776046,20537.014829602627,19650.197894021072
27.5,19984.00553353935,221.4110881943929,16805.089339783004,23764.28993745538,19554.66581918276,20421.258288526875,20553.237740918845,19665.720277406672
28,19998.42627751147,223.50239557473185,16815.942560171403,23783.24027240107,19565.051344454347,20439.829374574834,20568.069250986355,19679.911342189545
28.5,20011.613682964748,225.58916805899273,16825.866431701877,23800.571758450762,19574.212768822956,20457.158615276774,20581.632291639653,19692.88871183617
29,20023.66864674983,227.35529724475617,16834.93749474494,23816.41597206385,19582.860530111495,20472.719167296476,20594.030633714625,19704.751676213047
29.5,20034.68924905804,228.9319373815048,16843.229622919953,23830.90170443463,19590.83966774961,20486.869419909788,20605.365151157017,19715.596753388294
30,20044.771722016147,230.90543844889348,16850.814731491388,23844.15626964101,19597.115832618703,20500.87005915142,20615.734817207027,19725.518642799598
30.5,20053.988278794655,232.65938353136877,16857.748005406116,23856.273161132973,19602.949777690563,20513.569117426745,20625.213901983272,19734.588407478295
31,20062.41189294401,234.13429886313074,16864.084545528887,23867.347971456034,19608.529019193884,20524.921323048664,20633.877457643262,19742.87785872509
31.5,20070.1111095505,235.40377483873647,16869.87594303683,23877.470770088585,19613.780136174144,20535.141294828325,20641.79598173827,19750.45444990869
32,20077.15376230369,236.9006069775815,16875.172808879455,23886.731437815015,19617.936677042217,20545.15659025816,20649.039240159116,19757.38493433148
32.5,20083.58791684678,238.01889039576415,16880.012086878814,23895.19184790202,19622.214585096117,20553.811573423947,20655.656667669533,19763.716612095162
33,20089.4720672099,239.24366091604213,16884.437268316524,23902.92975978189,19625.73743183369,20562.128299816213,20661.70842446641,19769.50704559545
33.5,20094.849678351133,240.30205097200587,16888.48142295853,23910.001691064917,19629.07457418622,20569.60809174026,20667.239213580662,19774.799007524038
34,20099.764000315816,241.19455600561935,16892.177127346222,23916.464432938064,19632.268257258467,20576.295133013256,20672.293517008773,19779.635059082786
34.5,20104.26027044196,242.32322580975017,16895.55796133936,23922.37821425138,19634.58891621447,20583.03352781947,20676.917860646732,19784.059717114633
35,20108.365677727994,243.05300440006081,16898.645168874802,23927.77745331109,19637.287504800886,20588.58854718824,20681.140207955013,19788.09973757882
35.5,20112.12182236789,243.98575513810616,16901.469339301293,23932.718024249945,19639.245820739816,20594.197751738564,20685.00334408373,19791.79605810304
36,20115.55256025717,244.6713922621867,16904.048980547817,23937.23034693536,19641.354983022327,20598.990572062758,20688.531804449034,19795.172154629956
36.5,20118.690088857376,245.42975469203412,16906.4079387691,23941.357379949484,19643.030892477644,20603.634795921887,20691.758703637526,19798.25971181215
37,20121.557332386394,246.09516413787912,16908.563671345448,23945.128905086967,19644.61569213117,20607.824081874238,20694.707618849447,19801.081288753478
37.5,20124.177864095447,246.69997774323951,16910.53388073136,23948.5759655261,19646.07059624046,20611.646293714974,20697.40279480571,19803.660083254
38,20126.57316027907,247.26838944369905,16912.33469965631,23951.72683462708,19647.37045756129,20615.17098204178,20699.866319539993,19806.017229555306
38.5,20128.76330366598,247.85376574828285,16913.981174757835,23954.608017047973,19648.432539208778,20618.524292829643,20702.118847825288,19808.172490528494
39,20130.764548866566,248.35798915920196,16915.485658317717,23957.24067345666,19649.4621169633,20621.527458104498,20704.177097274656,19810.14186189677
39.5,20132.593544466654,248.8163919734248,16916.86063378798,23959.64675978688,19650.407761132312,20624.26734293984,20706.058190698725,19811.941727083937
40,20134.26547003822,249.25841025087897,16918.11748570083,23961.84629033859,19651.22793829854,20626.817630159017,20707.777740050322,19813.587023896922
40.5,20135.793205474634,249.64164478969744,16919.26595696608,23963.856107750104,19652.017200951046,20629.106916565717,20709.348992098723,19815.090427091043
41,20137.190310540806,250.05155180264595,16920.316142734362,23965.694215750595,19652.624484313113,20631.31862336396,20710.785892850472,19816.465280464825
41.5,20138.46626301569,250.36358222988508,16921.275327998435,23967.372814076447,19653.29918580585,20633.214647703717,20712.09819005327,19817.72091084464
42,20139.63316000832,250.70238014293625,16922.15245792922,23968.90806693164,19653.81329423342,20635.054850483422,20713.29832539493,19818.86922266887
42.5,20140.699706236854,251.01851981398573,16922.954142052884,23970.311315401636,19654.270721302262,20636.749685036633,20714.39525154219,19819.918782015622
43,20141.67401319583,251.27770053774412,16923.686524865,23971.593152176818,19654.74564609719,20638.239073229764,20715.397311040564,19820.87757118766
43.5,20142.564292347262,251.503847432894,16924.35575324739,23972.76442362869,19655.20019053343,20639.578782794066,20716.312949250558,19821.75367086305
44,20143.378719147022,251.7651507975561,16924.967891347893,23973.836022230455,19655.511180352456,20640.912544690415,20717.150574500905,19822.55512628717
44.5,20144.123324023545,252.02409207405515,16925.52752181635,23974.815798572694,19655.756913973062,20642.17180506861,20717.91638899313,19823.287871841825
45,20144.80321249139,252.21838223785969,16926.038562757843,23975.7103348255,19656.062472898266,20643.237838457157,20718.61564366925,19823.956931726043
45.5,20145.424419177463,252.3857314953618,16926.505505880952,23976.527645092825,19656.361253160623,20644.191643273687,20719.25454504884,19824.568244453225
46,20145.993101237527,252.60486767078638,16926.93288338179,23977.27599135653,19656.50777192616,20645.195887145295,20719.83942567049,19825.12786911412
