phase,age_yrs,sex,MC_variable,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,quant975_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,Ts,mass,mass_sd,pctbodywt,pctbodywt_sd
2,8,N/A,P_cost,994.6434771964183,2.52244552987345,989.8762307383045,999.8521945790923,994.6434771964183,2.52244552987345,989.8762307383045,999.8521945790923,342.9805093780753,0.8698088034046375,341.33663128907057,344.77661882037665,365,15025.054546560485,0,2.282723888390741,0.005789055878028429
2,9,N/A,P_cost,1043.8296019541385,2.282211572168546,1039.6042339694538,1048.5913416508683,1043.8296019541385,2.282211572168546,1039.6042339694538,1048.5913416508683,359.94124205315126,0.786969507644326,358.4842186101565,361.58322125892016,365,15802.21989854219,0,2.277789097760607,0.004980119962239778
2,10,N/A,P_cost,1086.1423540097662,2.085687105083611,1082.3566723804602,1090.5297650416983,1086.1423540097662,2.085687105083611,1082.3566723804602,1090.5297650416983,374.53184621026423,0.7192024500288312,373.2264387518828,376.04474656610284,365,16471.25524485279,0,2.2738512678158163,0.004366409477222935
2,11,N/A,P_cost,1122.324764953496,1.8942150937336304,1118.9502246573986,1126.340060335083,1122.324764953496,1.8942150937336304,1118.9502246573986,1126.340060335083,387.0085396391366,0.6531776185288383,385.84490505427544,388.3931242534769,365,17044.13686263004,0,2.2706256277938515,0.003832271612186807
2,12,N/A,P_cost,1153.1614214348906,1.7174813287741684,1150.1751212781364,1156.8305229120467,1153.1614214348906,1.7174813287741684,1150.1751212781364,1156.8305229120467,397.64186946030713,0.5922349409566098,396.61211078556437,398.907076866223,365,17532.564883176387,0,2.2680188101962755,0.0033779138700059624
2,13,N/A,P_cost,1179.346414480695,1.5514819451366704,1176.7328419893745,1182.6802423009888,1179.346414480695,1.5514819451366704,1176.7328419893745,1182.6802423009888,406.6711774071362,0.534993774185059,405.76994551357745,407.82077320723755,365,17947.517365664335,0,2.265890981585815,0.0029808789889155577
2,14,N/A,P_cost,1201.5315481898647,1.4107396947516286,1199.2600267666005,1204.5732184356423,1201.5315481898647,1.4107396947516286,1199.2600267666005,1204.5732184356423,414.3212235137464,0.4864619637074583,413.537940264345,415.3700753226352,365,18299.027763530143,0,2.2641706918412696,0.0026584033315528053
2,15,N/A,P_cost,1220.2928866761747,1.2912248634077,1218.3407374063588,1223.0710252385302,1220.2928866761747,1.2912248634077,1218.3407374063588,1223.0710252385302,420.79065057799124,0.445249952899207,420.1174956573651,421.7486293925967,365,18596.10321716741,0,2.2627893901423874,0.0023943185714745026
2,16,N/A,P_cost,1236.1149154858022,1.2262617285087776,1234.382725359029,1238.7321108824462,1236.1149154858022,1.2262617285087776,1234.382725359029,1238.7321108824462,426.2465225813111,0.42284887189957854,425.6492156410445,427.14900375256764,365,18846.663912909844,0,2.2616550311025336,0.0022436271684662954
2,17,N/A,P_cost,1249.4546321559028,1.1959894125017028,1247.8634461951558,1251.9804682554673,1249.4546321559028,1.1959894125017028,1247.8634461951558,1251.9804682554673,430.84642488134585,0.4124101422419663,430.29774006729514,431.7174028467129,365,19057.66679204026,0,2.2607511695046307,0.0021640117163461785
