age_yrs,Lifestage,no_days,MC_variable,Es,Es_sd,Es_perday,Es_sd_perday,Lifestage_f
25,Pregnant,396,pctO2,462801.9365312056,70501.7239045796,1168.6917589171858,178.03465632469596,Pregnant
26,Pregnant,396,all,465400.16910597077,74211.60257562439,1175.2529522878049,187.4030368071323,Pregnant
26,Pregnant,396,Rs,464082.8286318544,400.9531960454794,1171.9263349289251,1.0125080708219176,Pregnant
26,Pregnant,396,Vt,464078.88910284283,3564.316827246119,1171.9163866233405,9.000800068803331,Pregnant
26,Pregnant,396,pctO2,464003.6639730378,70684.79110811732,1171.7264241743378,178.49694724272052,Pregnant
27,Pregnant,396,all,466436.424899885,74447.62004075937,1177.8697598481945,187.9990405069681,Pregnant
27,Pregnant,396,Rs,465086.40971859253,401.82025903379275,1174.4606306025064,1.014697623822709,Pregnant
27,Pregnant,396,Vt,465082.3775315756,3647.196602198677,1174.4504483120597,9.210092429794638,Pregnant
27,Pregnant,396,pctO2,465007.0738658653,70837.64726891361,1174.260287540064,178.88294764877176,Pregnant
28,Pregnant,396,all,467312.44206609443,74654.99195374474,1180.0819244093293,188.52270695390087,Pregnant
28,Pregnant,396,Rs,465931.50924372446,402.55039885942944,1176.5947203124356,1.0165414112611855,Pregnant
28,Pregnant,396,Vt,465927.38943163387,3725.582340377838,1176.5843167465503,9.408036213075349,Pregnant
28,Pregnant,396,pctO2,465852.02923135273,70966.36498849747,1176.3940132104867,179.20799239519565,Pregnant
29,Pregnant,396,all,468050.30525009136,74833.2786908616,1181.9452152780084,188.97292598702424,Pregnant
29,Pregnant,396,Rs,466641.81293536455,403.1640792581754,1178.3884165034458,1.0180911092378166,Pregnant
29,Pregnant,396,Vt,466637.61503637466,3795.445445645963,1178.3778157484207,9.584458196075664,Pregnant
29,Pregnant,396,pctO2,466562.21175723115,71074.55185724009,1178.1874034273515,179.4811915586871,Pregnant
30,Pregnant,396,all,468665.3442299893,74979.70528301645,1183.4983440151245,189.34269010862738,Pregnant
30,Pregnant,396,Rs,467234.7987270623,403.67640062350523,1179.8858553713694,1.0193848500593568,Pregnant
30,Pregnant,396,Vt,467230.53833086486,3851.3718531798295,1179.8750967951132,9.725686497928862,Pregnant
30,Pregnant,396,pctO2,467155.0963956111,71164.869951835,1179.6845868576038,179.7092675551389,Pregnant
8,Lactating,365,all,259159.1516778557,37390.27312474934,710.0250730900157,102.43910445136807,Lactating
8,Lactating,365,Rs,258186.5172912324,315.0834146912466,707.3603213458422,0.8632422320308126,Lactating
8,Lactating,365,Vt,258183.6482611379,2322.716976968832,707.3524609894189,6.363608156078992,Lactating
8,Lactating,365,pctO2,258142.38958716154,35096.708415119756,707.23942352647,96.15536552087605,Lactating
9,Lactating,365,all,274529.7361098293,39458.985590235716,752.1362633146008,108.10680983626223,Lactating
9,Lactating,365,Rs,273569.4181914669,333.8562653976051,749.5052553190874,0.914674699719466,Lactating
9,Lactating,365,Vt,273566.57649637683,2303.636981165601,749.4974698530872,6.311334194974249,Lactating
9,Lactating,365,pctO2,273522.66133345803,37187.79044813398,749.3771543382412,101.88435739214789,Lactating
10,Lactating,365,all,287815.1644218205,41228.15365921145,788.5346970460836,112.9538456416752,Lactating
10,Lactating,365,Rs,286874.4098261977,350.09329528085317,785.9572871950622,0.9591597130982279,Lactating
10,Lactating,365,Vt,286871.616916914,2267.3715621419574,785.9496353888055,6.211976882580705,Lactating
10,Lactating,365,pctO2,286825.378958145,38996.410885672274,785.8229560497123,106.83948187855418,Lactating
11,Lactating,365,all,299189.37845583446,42680.7130119312,819.6969272762587,116.93346030666082,Lactating
11,Lactating,365,Rs,298294.6223565043,364.0301948459451,817.2455407027516,0.9973429995779318,Lactating
11,Lactating,365,Vt,298291.9537349805,2171.217585089999,817.2382294109054,5.948541329013696,Lactating
11,Lactating,365,pctO2,298243.6396136432,40548.82296907613,817.1058619551868,111.09266566870173,Lactating
12,Lactating,365,all,308915.15630301647,43913.02740501082,846.3428939808671,120.30966412331732,Lactating
12,Lactating,365,Rs,308064.34544100566,375.9528844671862,844.0119053178237,1.0300079026498252,Lactating
12,Lactating,365,Vt,308061.7961094828,2079.0688052478304,844.0049208478981,5.696078918487206,Lactating
12,Lactating,365,pctO2,308011.69291517657,41876.874975782725,843.8676518224015,114.73116431721294,Lactating
13,Lactating,365,all,317192.9624136099,44945.780702213524,869.021814831808,123.1391252115439,Lactating
13,Lactating,365,Rs,316387.1603518452,386.1098088854838,866.8141379502608,1.057835092836942,Lactating
13,Lactating,365,Vt,316384.7340092186,1984.0723042737102,866.8074904362153,5.435814532256741,Lactating
13,Lactating,365,pctO2,316333.0853399883,43008.240823943015,866.6659872328446,117.83079677792607,Lactating
14,Lactating,365,all,324233.8840281138,45836.46846605612,888.3120110359282,125.57936566042773,Lactating
14,Lactating,365,Rs,323460.61273907,394.74204714178586,886.1934595590959,1.0814850606624271,Lactating
14,Lactating,365,Vt,323458.274778225,1916.3417806060897,886.1870541869177,5.250251453715315,Lactating
14,Lactating,365,pctO2,323405.32877479773,43969.77397651516,886.0419966432814,120.4651341822333,Lactating
15,Lactating,365,all,330208.5084466437,46600.31807839983,904.6808450592979,127.6721043243831,Lactating
15,Lactating,365,Rs,329459.05798788054,402.0623775434766,902.6275561311795,1.1015407603930867,Lactating
15,Lactating,365,Vt,329456.78435014177,1867.4441616376666,902.6213269866897,5.116285374349772,Lactating
15,Lactating,365,pctO2,329402.7488050198,44785.17551665094,902.4732843973144,122.69911100452312,Lactating
16,Lactating,365,all,335289.2799169484,47281.409445039506,918.6007668957491,129.5381080686014,Lactating
