Lifestage,age_yrs,mean_GER,GER_sd,quant025,quant975,GER_foraging,sd_foraging,quant025_foraging,FR_foraging,FR_sd_foraging,FR_quant025,FR_quant975,pctbodywt,pctbodywt_sd
Lactating,14,1410.642519088471,172.53318065941656,1074.8380065125552,1752.4747299088085,4326.76066779237,529.1984112662776,3296.7720367822076,1492.3236792332775,184.09212338204037,1138.9813856313513,1859.761843355704,8.147655811639583,0.9397392913088776
Lactating,15,1427.0605290651415,174.7350001806095,1086.8485039238567,1773.1734924548616,4377.118429485518,535.9518913102728,3333.6109574135103,1509.6923929842535,186.43832756388423,1151.805433956784,1881.801721676771,8.111008238133715,0.9385521652222648
Lactating,16,1440.9928128496383,176.71280923455942,1096.9747521998777,1791.0278690969865,4419.851904958975,542.0182804253293,3364.6704584281956,1524.4314667246974,188.5442311077477,1162.442436400618,1900.715224533857,8.081408550576757,0.9376767074959574
Lactating,17,1452.7919116737971,178.4491273516993,1105.2563675358494,1806.3164410775216,4456.042418159126,547.3439620451281,3390.0720516855886,1536.913841164896,190.3921597837472,1171.1891883517292,1916.8504112495675,8.057326459696105,0.9361714789102524
Lactating,18,1462.7835389659274,180.00412424608103,1112.0328448476062,1819.4444723858496,4486.6890060719625,552.1134903346183,3410.857045120809,1547.4840943124716,192.0459895108677,1178.2177111410983,1930.705938173105,8.037780741387781,0.9347009380227628
Lactating,19,1471.3031883487367,181.45440483654824,1117.6086683396834,1830.8785816720876,4512.820703758731,556.5618299608412,3427.9593608738182,1556.497154155914,193.58689092815737,1183.9226059467946,1942.9177601002457,8.022219751332228,0.933323661921784
Lactating,20,1478.476321900934,182.70541643695876,1122.2773165556034,1840.3806810112217,4534.822331881016,560.3989663822686,3442.279164225171,1564.0857223244277,194.91573800045848,1189.0498784577987,1952.9815600164395,8.009411036428096,0.931824475843303
Lactating,21,1484.5556418484732,183.8247720326013,1125.9707055178048,1848.526327998803,4553.4689855016195,563.8322839655418,3453.6076261680573,1570.517141770143,196.104085169414,1193.290197542121,1961.6482208064344,7.99909996159128,0.9305817901369624
Lactating,22,1489.6969900979552,184.8179262935516,1128.982735161729,1855.4889046955304,4569.238667107174,566.8785134213979,3462.8462044876555,1575.956275074842,197.15796914415432,1196.4530358329257,1969.1338036172365,7.990725987952006,0.9292492702246242
Lactating,23,1494.050436586739,185.69378257068237,1131.6335276139146,1861.4397668136255,4582.5916752450385,569.5649633470509,3470.976786378814,1580.5618795862567,198.0870389689793,1199.036121627104,1975.475797314232,7.983992451985315,0.9281107979876688
Lactating,24,1497.728193533245,186.47072567426335,1133.892455318323,1866.5256695750409,4593.872190249029,571.9480241269422,3477.9054301780493,1584.4526660652505,198.91083558939724,1201.057629328991,1980.809142811066,7.978518836427773,0.926954267597042
Lactating,25,1500.800419489079,187.09456469712524,1135.821061763413,1870.7341496490728,4603.295404315243,573.8614799533673,3483.820903728115,1587.7028411554988,199.57253148788703,1202.850804067681,1985.3001902752071,7.973931978950805,0.9257991719977954
Lactating,26,1503.4373186199862,187.68784362993773,1137.381117400254,1874.4380003750057,4611.383372237772,575.681201049809,3488.6059483285103,1590.492487664726,200.20126508439685,1204.3097416710837,1989.4996712097768,7.970446107452275,0.925051261674556
Lactating,27,1505.6343637703344,188.17715013966364,1138.6892604998766,1877.516017350339,4618.122208203127,577.1820151342624,3492.61832002063,1592.816799666283,200.71985955276224,1205.4843210153865,1992.8934267989064,7.96748216510377,0.9242456688675924
Lactating,28,1507.497577858215,188.61474834879863,1139.7613754015313,1880.1622090362544,4623.8371085567105,578.524228128668,3495.9067396769656,1594.787948144844,201.18345693895708,1206.421202098626,1995.761703533792,7.965125872365091,0.9235225585628968
Lactating,29,1509.0642669704578,188.97481981485504,1140.6758926374837,1882.4066860692903,4628.642499531235,579.6286490119503,3498.7117715351396,1596.4453924064842,201.564988460104,1207.326242924834,1998.1580529598305,7.963207370546262,0.92286597294322
Lactating,30,1510.3718012498862,189.27997857915224,1141.3820701102622,1884.307883251129,4632.653003833684,580.5646401797527,3500.8777780692926,1597.8286705745554,201.88829693366807,1208.0717076408582,2000.167063818224,7.9615828819077,0.9222206236954036
